"","date","Quantity (ounces)"
"1",2015-03-13,176
"2",2015-03-14,182
"3",2015-03-15,347
"4",2015-03-16,400
"5",2015-03-17,406
"6",2015-03-18,382
"7",2015-03-19,324
"8",2015-03-20,192
"9",2015-03-21,274
"10",2015-03-22,370
"11",2015-03-23,332
"12",2015-03-24,390
"13",2015-03-25,384
"14",2015-03-26,377
"15",2015-03-27,232
"16",2015-03-28,219
"17",2015-03-29,376
"18",2015-03-30,360
"19",2015-03-31,422
"20",2015-04-01,448
"21",2015-04-02,332
"22",2015-04-03,312
"23",2015-04-04,235
"24",2015-04-05,402
"25",2015-04-06,406
"26",2015-04-07,436
"27",2015-04-08,449
"28",2015-04-09,378
"29",2015-04-10,270
"30",2015-04-11,298
"31",2015-04-12,354
"32",2015-04-13,426
"33",2015-04-14,400
"34",2015-04-15,400
"35",2015-04-16,370
"36",2015-04-17,320
"37",2015-04-18,210
"38",2015-04-19,342
"39",2015-04-20,384
"40",2015-04-21,410
"41",2015-04-22,410
"42",2015-04-23,380
"43",2015-04-24,253
"44",2015-04-25,254
"45",2015-04-26,426
"46",2015-04-27,428
"47",2015-04-28,378
"48",2015-04-29,412
"49",2015-04-30,364
"50",2015-05-01,262
"51",2015-05-02,196
"52",2015-05-03,376
"53",2015-05-04,402
"54",2015-05-05,360
"55",2015-05-06,362
"56",2015-05-07,322
"57",2015-05-08,218
"58",2015-05-09,231
"59",2015-05-10,434
"60",2015-05-11,356
"61",2015-05-12,426
"62",2015-05-13,360
"63",2015-05-14,341
"64",2015-05-15,226
"65",2015-05-16,332
"66",2015-05-17,300
"67",2015-05-18,320
"68",2015-05-19,322
"69",2015-05-20,290
"70",2015-05-21,298
"71",2015-05-22,162
"72",2015-05-23,264
"73",2015-05-24,168
"74",2015-05-25,284
"75",2015-05-26,334
"76",2015-05-27,370
"77",2015-05-28,270
"78",2015-05-29,258
"79",2015-05-30,206
"80",2015-05-31,436
"81",2015-06-01,362
"82",2015-06-02,374
"83",2015-06-03,318
"84",2015-06-04,330
"85",2015-06-05,251
"86",2015-06-06,230
"87",2015-06-07,416
"88",2015-06-08,318
"89",2015-06-09,352
"90",2015-06-10,298
"91",2015-06-11,256
"92",2015-06-12,223
"93",2015-06-13,216
"94",2015-06-14,350
"95",2015-06-15,338
